,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量,数量
,总计_All,总计_All,总计_All,总计_All,总计_All,总计_All,总计_Mandalay,总计_Mandalay,总计_Mandalay,总计_Mandalay,总计_Mandalay,总计_Mandalay,总计_Naypyitaw,总计_Naypyitaw,总计_Naypyitaw,总计_Naypyitaw,总计_Naypyitaw,总计_Naypyitaw,总计_Yangon,总计_Yangon,总计_Yangon,总计_Yangon,总计_Yangon,总计_Yangon,数量_All,数量_All,数量_All,数量_All,数量_All,数量_All,数量_Mandalay,数量_Mandalay,数量_Mandalay,数量_Mandalay,数量_Mandalay,数量_Mandalay,数量_Naypyitaw,数量_Naypyitaw,数量_Naypyitaw,数量_Naypyitaw,数量_Naypyitaw,数量_Naypyitaw,数量_Yangon,数量_Yangon,数量_Yangon,数量_Yangon,数量_Yangon,数量_Yangon
产品线,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料,健康美容,家居生活,时尚配饰,电子配件,运动旅行,食品饮料
性别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女,18560.99,30036.88,30437.4,27102.02,28574.72,33170.92,6400.35,9557.13,9081.49,8166.51,9212.82,10510.0,6445.74,7842.93,11519.69,8969.22,11246.73,15661.16,5714.9,12636.81,9836.22,9966.3,8115.18,6999.76,5.36,6.3,5.52,5.81,5.64,5.71,5.6,6.68,5.36,5.57,5.0,5.83,5.22,6.08,5.49,5.86,6.55,6.08,5.29,6.22,5.75,6.0,5.38,4.96
男,30632.75,23825.04,23868.5,27235.51,26548.11,22973.93,13580.31,7992.03,7331.82,8884.93,10775.38,4704.89,10169.59,6052.62,10040.38,9999.76,4515.2,8105.7,6882.86,9780.38,6496.29,8350.82,11257.52,10163.34,5.81,5.1,4.54,5.62,5.44,5.21,6.3,5.29,4.14,5.93,5.38,4.81,5.41,4.65,5.0,6.26,4.69,4.93,5.62,5.21,4.43,4.81,5.9,5.69
All,49193.740000000005,53861.92,54305.9,54337.53,55122.83,56144.85,19980.66,17549.16,16413.309999999998,17051.440000000002,19988.199999999997,15214.89,16615.33,13895.55,21560.07,18968.98,15761.93,23766.86,12597.759999999998,22417.19,16332.509999999998,18317.12,19372.7,17163.1,11.17,11.399999999999999,10.059999999999999,11.43,11.08,10.92,11.899999999999999,11.969999999999999,9.5,11.5,10.379999999999999,10.64,10.629999999999999,10.73,10.49,12.120000000000001,11.24,11.01,10.91,11.43,10.18,10.809999999999999,11.280000000000001,10.65
